game_tag,timestamp,inning,half,event,mlb_event,market_type,market_label,market_ticker,entry_price,sell_target,predicted_delta,ev_per_contract,contracts,budget,pnl_per_contract,filled,pnl
823076 BOS@STL,2026-04-11T02:01:22.730Z,6,bot,BB,Walk,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.39,0.4274,0.0623,0.0374,1282,500.0,0.0374,True,47.95
823076 BOS@STL,2026-04-11T02:03:09.167Z,6,bot,BB,Walk,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.43,0.4869,0.0948,0.0569,1162,500.0,0.0569,True,66.12
823076 BOS@STL,2026-04-11T02:06:16.119Z,6,bot,K,Strikeout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.56,0.5354,-0.041,0.0246,892,500.0,0.0246,True,21.94
823076 BOS@STL,2026-04-11T02:08:34.901Z,6,bot,OUT,Flyout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.52,0.4881,-0.0531,0.0319,961,500.0,0.0319,True,30.66
823076 BOS@STL,2026-04-11T02:12:07.152Z,6,bot,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.39,0.3779,-0.0201,0.0121,1282,500.0,0.0121,True,15.51
823076 BOS@STL,2026-04-11T02:14:29.546Z,7,top,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.7,0.7233,0.0388,0.0233,714,500.0,0.0233,True,16.64
823076 BOS@STL,2026-04-11T02:16:55.054Z,7,top,OUT,Pop Out,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.7,0.7204,0.034,0.0204,714,500.0,0.0204,True,14.57
823076 BOS@STL,2026-04-11T02:17:43.870Z,7,top,K,Strikeout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.77,0.7811,0.0185,0.0111,649,500.0,0.0111,True,7.2
823076 BOS@STL,2026-04-11T02:21:29.824Z,7,bot,OUT,Flyout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.31,0.2786,-0.0524,0.0314,1612,500.0,0.0315,True,50.78
823076 BOS@STL,2026-04-11T02:23:58.169Z,7,bot,OUT,Lineout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.36,0.3359,-0.0401,0.0241,1388,500.0,0.0241,True,33.45
